2018-08-06 10:38:19.6845 | Debug | CaesarTests.TC_1_01_01 
2018-08-06 10:38:19.7134 | Debug | Test_NavigateToLinks_LoginPageOpened("http://localhost:3000") 
2018-08-06 10:38:19.7283 | Debug | Passed 
2018-08-06 10:38:19.9497 | Debug | CaesarTests.TC_1_01_01 
2018-08-06 10:38:19.9497 | Debug | Test_NavigateToLinks_LoginPageOpened("http://localhost:3000/Groups/Dnipro") 
2018-08-06 10:38:19.9687 | Debug | Passed 
2018-08-06 10:38:20.1328 | Debug | CaesarTests.TC_1_01_01 
2018-08-06 10:38:20.1428 | Debug | Test_NavigateToLinks_LoginPageOpened("http://localhost:3000/admin") 
2018-08-06 10:38:20.1498 | Debug | Passed 
2018-08-06 10:38:25.6178 | Debug | CaesarTests.TC_1_01_02 
2018-08-06 10:38:25.6297 | Debug | Test_LoginWithValidLoginCredentials("admin","1234") 
2018-08-06 10:38:25.6297 | Debug | Passed 
2018-08-06 10:38:27.1177 | Debug | CaesarTests.TC_1_01_02 
2018-08-06 10:38:27.1277 | Debug | Test_LoginWithValidLoginCredentials("sasha","1234") 
2018-08-06 10:38:27.1357 | Debug | Passed 
2018-08-06 10:38:29.0431 | Debug | CaesarTests.TC_1_01_02 
2018-08-06 10:38:29.0431 | Debug | Test_LoginWithValidLoginCredentials("dmytro","1234") 
2018-08-06 10:38:29.0630 | Debug | Passed 
2018-08-06 10:38:33.1289 | Debug | CaesarTests.TC_1_01_03 
2018-08-06 10:38:33.1479 | Debug | Test_EnterKey_Login("dmytro","1234") 
2018-08-06 10:38:33.1658 | Debug | Passed 
2018-08-06 10:38:33.5588 | Debug | CaesarTests.TC_1_01_03 
2018-08-06 10:38:33.5717 | Debug | Test_EscKey_EmptyFields("dmytro","1234") 
2018-08-06 10:38:33.5717 | Debug | Passed 
2018-08-06 10:38:36.5991 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:36.6071 | Debug | Test_15lettersLoginField_Contains10 
2018-08-06 10:38:36.6071 | Debug | Passed 
2018-08-06 10:38:36.8824 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:36.8904 | Debug | Test_EmptyFields_EnterPressed_NoChanges 
2018-08-06 10:38:36.8904 | Debug | Passed 
2018-08-06 10:38:37.1387 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:37.1497 | Debug | Test_EmptyFields_LoginButtonClick_NoChanges 
2018-08-06 10:38:37.1497 | Debug | Passed 
2018-08-06 10:38:37.4360 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:37.4360 | Debug | Test_EmptyLoginField_LoginButtonUnactive 
2018-08-06 10:38:37.4539 | Debug | Passed 
2018-08-06 10:38:37.7070 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:37.7170 | Debug | Test_EmptyPassField_LoginButtonUnactive 
2018-08-06 10:38:37.7170 | Debug | Passed 
2018-08-06 10:38:38.2147 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:38.2306 | Debug | Test_InvalidValues_ErrorMessage("login1","$%^&\\;#*") 
2018-08-06 10:38:38.2306 | Debug | Passed 
2018-08-06 10:38:38.6890 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:38.7039 | Debug | Test_InvalidValues_ErrorMessage("#$%^#${}","pass2") 
2018-08-06 10:38:38.7139 | Debug | Passed 
2018-08-06 10:38:39.2176 | Debug | CaesarTests.TC_1_01_04 
2018-08-06 10:38:39.2176 | Debug | Test_InvalidValues_ErrorMessage("4f4&4]3","#@#@#@") 
2018-08-06 10:38:39.2395 | Debug | Passed 
2018-08-06 10:38:39.7452 | Debug | CaesarTests.TC_1_01_04 
